x,y,z
2.995757e+00, 2.121320e-03, 2.121320e-03 
3.724888e-03, 2.995473e+00, 8.017837e-04 
2.000518e+00, 2.405351e-03, 9.970769e-01 
1.603567e-03, 2.995473e+00, 2.923104e-03 
1.996275e+00, 4.526672e-03, 9.991982e-01 
2.121320e-03,  2, 9.978787e-01 
2.995757e+00, -2.121320e-03, 2.121320e-03 
3.724888e-03, -2.995473e+00, 8.017837e-04 
2.000518e+00, -2.405351e-03, 9.970769e-01 
1.603567e-03, -2.995473e+00, 2.923104e-03 
1.996275e+00, -4.526672e-03, 9.991982e-01 
2.121320e-03, -2, 9.978787e-01 
-1.603567e-03, 2.995473e+00, 2.923104e-03 
-2.121320e-03,  2, 9.978787e-01 
-1.996275e+00, 4.526672e-03, 9.991982e-01 
-3.724888e-03, 2.995473e+00, 8.017837e-04 
-2.995757e+00, 2.121320e-03, 2.121320e-03 
-2.000518e+00, 2.405351e-03, 9.970769e-01 
-1.603567e-03, -2.995473e+00, 2.923104e-03 
-1.996275e+00, -4.526672e-03, 9.991982e-01 
-2.121320e-03, -2, 9.978787e-01 
-2.995757e+00, -2.121320e-03, 2.121320e-03 
-3.724888e-03, -2.995473e+00, 8.017837e-04 
-2.000518e+00, -2.405351e-03, 9.970769e-01 
2.995757e+00, 2.121320e-03, -2.121320e-03 
3.724888e-03, 2.995473e+00, -8.017837e-04 
2.000518e+00, 2.405351e-03, -9.970769e-01 
1.603567e-03, 2.995473e+00, -2.923104e-03 
1.996275e+00, 4.526672e-03, -9.991982e-01 
2.121320e-03,  2, -9.978787e-01 
-2.121320e-03, 1.995757e+00, 9.978787e-01 
-1.995429e+00, 3.346065e-03, 9.987753e-01 
-2.449490e-03, 1.000897e+00, 3.346065e-03 
-1.995429e+00, 1.224745e-03, 9.966539e-01 
-4.570810e-03, 9.966539e-01, 1.224745e-03 
-1, 2.121320e-03, 2.121320e-03 
1.995429e+00, 3.346065e-03, 9.987753e-01 
2.121320e-03, 1.995757e+00, 9.978787e-01 
2.449490e-03, 1.000897e+00, 3.346065e-03 
1.995429e+00, 1.224745e-03, 9.966539e-01 
 1, 2.121320e-03, 2.121320e-03 
4.570810e-03, 9.966539e-01, 1.224745e-03 
2.449490e-03, 1.000897e+00, -3.346065e-03 
1.995429e+00, 3.346065e-03, -9.987753e-01 
2.121320e-03, 1.995757e+00, -9.978787e-01 
 1, 2.121320e-03, -2.121320e-03 
4.570810e-03, 9.966539e-01, -1.224745e-03 
1.995429e+00, 1.224745e-03, -9.966539e-01 
2.995757e+00, -2.121320e-03, -2.121320e-03 
3.724888e-03, -2.995473e+00, -8.017837e-04 
2.000518e+00, -2.405351e-03, -9.970769e-01 
1.603567e-03, -2.995473e+00, -2.923104e-03 
1.996275e+00, -4.526672e-03, -9.991982e-01 
2.121320e-03, -2, -9.978787e-01 
-1.995429e+00, -1.224745e-03, 9.966539e-01 
-1, -2.121320e-03, 2.121320e-03 
-4.570810e-03, -9.966539e-01, 1.224745e-03 
-1.995429e+00, -3.346065e-03, 9.987753e-01 
-2.121320e-03, -1.995757e+00, 9.978787e-01 
-2.449490e-03, -1.000897e+00, 3.346065e-03 
1.995429e+00, -3.346065e-03, 9.987753e-01 
2.121320e-03, -1.995757e+00, 9.978787e-01 
2.449490e-03, -1.000897e+00, 3.346065e-03 
1.995429e+00, -1.224745e-03, 9.966539e-01 
 1, -2.121320e-03, 2.121320e-03 
4.570810e-03, -9.966539e-01, 1.224745e-03 
2.449490e-03, -1.000897e+00, -3.346065e-03 
1.995429e+00, -3.346065e-03, -9.987753e-01 
2.121320e-03, -1.995757e+00, -9.978787e-01 
